No,Contents
4726,QT @maurobucaro: @IvanDuque @CarlosHolmesTru @AlvaroUribeVel no podemos permitir el maltraro que hace el alcalde de Bucaramanga @ingrodolfohdez con los venezolanos. Denuncia hoy en @WRadioColombia es muy grave. Que el mundo lo sepa! @MariaCorinaYA @carlaangola @DolarToday @ONU_es @ELTIEMPO ; @LeszliKalli @ingrodolfohdez Estos niños vienen caminando con sus padres desde Venezuela y ahora es delito llevarles ropa o comida porque funcionarios de la alcaldía no lo permiten. Toca hacerlo a escondidas y antes de que lleguen al parque del agua. @WRadioColombia @CaracolBga @lafm https://t.co/IdxQ0iHqWY
4728,"@madeleintlSUR Eso les pasa a los venecos que en lugar de quedarse y enfrentar la tiranía de Maburro y secuaces, huyen como ratas cobardes de su país!!!!"
4729,"@TransmiGaybgta Esos hptas venezolanos de mierda se ganan todas perezosos, ladrones y ahora asesinos?"
4730,"QT @elespectador: @MigracionCol pueden expulsar a estas personas? ; El martirio de los venezolanos que viven en un lote junto a la terminal, en Bogotá. https://t.co/6YK6Eaob6E https://t.co/bRI7SQkHn4"
4731,RT @8verona: Para cuándo la mano firme con el Gobierno Venezolano y sus arbitrariedades? @IvanDuque @COL_EJERCITO sumado al aumento de la delincuencia por parte de algunos venezolanos! @PoliciaColombia @FiscaliaCol https://t.co/PUPhSKaZNc
4738,"RT @Diego_Arria: Grupo de Lima lo q ha dicho es"" acordamos no amenazar ni de ninguna manera permitir que le pongan un dedo encima al narco estado ni a sus pandillas.Que los venezolanos vean como se los arregan con estos criminales porque nosotros de ninguna manera vamos a ayudarlos."
4740,Venezolano capturado por el delito de trata de blancas en Barrancabermeja https://t.co/Km5rAHmbEx https://t.co/tW9Vv5syfe
4751,QT @MabelLaraNews: Indignación total ; Mientras el Banco Mundial de alimentos denuncia que el 80% de los venezolanos que han salido de su país sufren de inseguridad alimentaria; el mundo conoce el v este vídeo del chef @nusr_ett con @NicolasMaduro https://t.co/Pvp8nwy22p
4752,"RT @elespectador: #LaPulla: En Bucaramanga, el personero dijo que los venezolanos son los responsables de la “desintegración familiar” y el alcalde se encargó de ponerle el moño al pastel diciendo que de Venezuela sólo llegan prostitutas, limosneros y desocupados. https://t.co/FXwOYYQGSi https://t.co/WRQS6nIein"
4758,"QT @Colectivoinfor1: RT @CRISTIA68508466: El mismo @ingrodolfohdez les dijo bienvenidos y ahora los maltrata. Coherencia por favor. https://t.co/PNAyTwiCeL ; Y antes decia que las puertas estaban abiertas para los venezolanos. Me encantaria que un dia @LaPullaOficial hiciera un reportaje del alcalde de bucaramanga, d todos sus negocios sucios, d vitalogic, d como tiene vuelta nada la cuidad, q culpa a los venezolanos de la inseguridad https://t.co/JNxVra0CVC"
4760,"Viejo me sabe a mierda los hijueputas periodistas yendo a preguntarle a los venezolanos que intentan atravesar UN PAÍS, que hoy en la noche que van a comer y donde van a dormir wtf enfermos hijueputas"
4771,"QT @Diego_Arria: @grupodelima/onceintegrantes demostraron cobardia falta de solidaridad con oprimido pueblo Venezolano. ; Grupo de Lima lo q ha dicho es"" acordamos no amenazar ni de ninguna manera permitir que le pongan un dedo encima al narco estado ni a sus pandillas.Que los venezolanos vean como se los arregan con estos criminales porque nosotros de ninguna manera vamos a ayudarlos."
4778,"RT @nizmycuba: De los cubanos huyendo de una atroz tiranía comunista donde lo maléfico es sin fin, por años nos han dicho ""huyen como ratas"". Lo he leído mucho. Pero ahora, la mayoría no usa esos términos con los venezolanos que huyen. Y me alegra porque es impropio pero no quita la injusticia. https://t.co/gFrQKAILdi"
4780,@Jesus_Silva_R Ustedes las ratas del gobierno disfrutando del dinero del país mientras los venezolanos pasando hambre
4782,"La diferencia es que hace años los colombianos que se iban para Venezuela, iban era a trabajar y mejorar su vida, a Colombia los venezolanos llegaron fue a robar y a mendigar esos hijueputas... 😬"
4784,"@NatiiCH23 Estos medios de manipulación de aquí dan asco, dicen extranjeros roban, en lugar de decir que eran venecos, hablan maravillas de Losasrotas, porque el tipo les paga publicidad, y ahora el cuento de que ladrones vestían camisetas de fútbol en lugar de decir que eran hinchas azules"
4790,"QT @DiarioTalCual: RT @Noelleal: Santas bolas tienen estas ratas, certificaron a chavez y lo llenaron de alabanzas mientras sembraba miseria, hoy q se cosecha… ; FAO alerta que cambio climático afectó seguridad alimentaria de los venezolanos https://t.co/7VRvBQNexE https://t.co/PYqwbkVASV"
4793,"QT @mmccarquitecta: RT @RONUSAN: 5.000 cubanos y 3.000 militares venezolanos estan con uniforme boliviano en la frontera con Chile....Proxima semana sera clav… ; 🔴El gob d Venezuela además d acusar a Chile x supuesto atentado a @NicolasMaduro ,llama a DESCONOCER INMUNIDAD DIPLOMÁTICA D NUESTRA EMBAJADA ➡️NUESTRO COMPATRIOTAS ESTÁN EN PELIGRO @GobiernodeChile Saque a todos los funcionarios d Embajada y rompa Relaciones con Venezuela❗️ https://t.co/X98tgTmC7l"
4800,"RT @LuisTrincado: Cuando se hable del éxodo de venezolanos por el mundo no olvidemos (aparte del hambre y la falta de medicinas) a la inseguridad y la persecución política como causales. Recordemos que los 1ros expulsados de Vzla fueron víctimas de secuestros, trabajadores de PDVSA y expropiados"
4804,"QT @HistoriaEnFotos: Esto es un montaje? grandícimos hijueputas! @NicolasMaduro @dcabellor ; Cientos de venezolanos caminando hacia Ecuador, luego de haber cruzado Colombia. Buscando una mejor calidad de vida que les ha sido arrebatada en los últimos años https://t.co/uRuKtwCiSj"
4808,"@IvanCepedaCast Esta demorada la intervencion de la ONU con sus aliados, por la defensa humana de un pueblo muriendo de hambre. Hay que acabar con esas dictaduras podridas que solo acabaron con la economia venezolana, ratas de la mierda."
4809,"@Vicme100 Cómplice de la dictadura venezolana y amigo de terroristas y narcotraficantes en Colombia, como también protector de violadores de niños."
4810,"@Penalosadas @EnriquePenalosa @elFuribista @DiceGarzon @GiordanoBrunoFi @PaisMenosPeor @Cloquis @GNavasTalero @Pelicolombianas @ManosLimpiasCo @MafeCarrascal No me quiero ni imaginar, que pasara bajo las Columnas del corredor Vial del @MetroBogota Guarida de ladrones,Campamentos de venezolanos Y basureros."
4812,"RT @Diego_Arria: Grupo de Lima lo q ha dicho es"" acordamos no amenazar ni de ninguna manera permitir que le pongan un dedo encima al narco estado ni a sus pandillas.Que los venezolanos vean como se los arregan con estos criminales porque nosotros de ninguna manera vamos a ayudarlos."
4813,"Vida hijueputa, Que no vamos a poder con esos venecos o que hijueputas."
4824,"QT @Antohes08: Vividores es poquito.... GENOCIDAS LADRONES PARAMILITARES y MAFIOSOS... ; El canciller Venezolano Arreaza, tiene la razón. Colombia un país de vividores. Van al exterior de limosneros. Piden ayuda para el narcotráfico. (Fracasado plan colombia) piden ayuda para los venezolanos, y no veo inversión. Siguen penando Piden, piden y se roban las ayudas"
4828,"@ernestoaib @VainillaIncomp1 @madeleintlSUR @NicolasMaduro Exagerado? 2 hermanos venezolanos enfrentan 20 años de prisión por hacer un video de burla (sátira). Ud abiertamente justifica tal violación de derechos fundamentales, acusándolos del delito de haber sido ""infantiles"". En una cosa tiene Ud razon: parece ciencia ficción."
4829,"RT @LolaAlv27898792: @ReyvenGonz @2001OnLine Ustedes son 31 millon de almas venezolanas,y el solo 1 dictador,expulsenlo,y el resto huiran como ratas. No tienen armas?? Usen sus dientes,despedazen al enemigo,luchen por vuestra libertad,y paz. ¡Fuerza pueblo venezolano! Dios este con uds."
4836,"RT @ABSURDA: Me da rabia cuando justifican ser hijueputas con los venezolanos con eso de que ""ellos se lo ganaron al elegir mal"", porque si fuera por malas elecciones en Colombia nos mereceríamos la bomba atómica y pues qué pena pero yo no merezco morir por culpa de 10 millones de atembados."
4842,"RT @Misiafaustina: @VargasvilCol @biolucho2005 @IvanDuque Legalizan a un poco de venezolanos inútiles que vinieron a engrosar las filas de la mendicidad y de la inseguridad y no son capaces de darle la nacionalidad a un hombre que le aporta a la música , al arte a la cultura? No hay derecho!"
4844,"QT @PresidencialVen: Con nuestros impuestos se le paga a la oposición venezolana estrato 8. Julio Borges vive en El Chicó pagado por @IvanDuque ; #EnVivo 📹 | “Borges vive en Bogotá y allí planifica todas las acciones criminales en contra de Venezuela. Osman Alexis Delgado Tabosky, quien coordinó todas las acciones, se encuentra en el estado de Florida en los EEUU de Norteamérica”, manifestó @jorgerpsuv https://t.co/g4XP1PL3HF"
4846,"RT @Diego_Arria: Grupo de Lima lo q ha dicho es"" acordamos no amenazar ni de ninguna manera permitir que le pongan un dedo encima al narco estado ni a sus pandillas.Que los venezolanos vean como se los arregan con estos criminales porque nosotros de ninguna manera vamos a ayudarlos."
4847,"RT @chanpo_llion: @NoticiasRCN Estas son primicias mal gobierno de sátrapa alacslde y mediocre secretario,inseguridad azota Bogota,invasión espacio público, perros y excremento tomaron calles,parques,andenes,bandas delincuentes venezolanos atrancando y lesionando,generan+miseria,policía ineficaz,insuficiente"
4848,@radiosantafentc Y ojo porque muchos casos de robo reportados son de venezolanos “ no todos “ pero la mayoria que peligro
4863,"@NoticiasCaracol Hasta cuándo se van a permitir estos ataques de esos cobardes, ladrones y parásitos militares venezolanos tenemos que responderles con las armas, para defender el territorio nacional y a sus pobladores."
4868,"RT @Misiafaustina: @VargasvilCol @biolucho2005 @IvanDuque Legalizan a un poco de venezolanos inútiles que vinieron a engrosar las filas de la mendicidad y de la inseguridad y no son capaces de darle la nacionalidad a un hombre que le aporta a la música , al arte a la cultura? No hay derecho!"
4874,"RT @CNNEE: Huyen por la inseguridad, la desesperación por lo que sucede en el país y el hambre. Y lo hacen a pie, a veces por recorridos que duran días. Así son los inmigrantes venezolanos que huyen de su país hacia Colombia https://t.co/iBIGwZ2cQd"
4875,@msverdades Y la agresión interna de toda esa parranda de criminales en contra del país y todos los venezolanos qué? Por favor...!
4885,"RT @Lulu46303318: @puerto_carbon @julietabrand @YolandaRuizRCN @fcarrilloflorez @NicolasMaduro Todo lo voltean a su acomodo. Ya no van a combatir narcotraficantes. Ayuda humanitaria a venezolanos con bombas Acabar las más de 200 investigaciones, unificando las cortes. La sociedad tributa más, para menos inversión social. Los evasores de impuestos, necesitan subsidios Ratas"
4888,"@ernestosamperp Pero, creo que estamos siendo inferiores, la incorporación de venezolanos/as a la sociedad Colombiana es a través de la economía informal, la delincuencia y la prostitucion"
4889,"QT @RCNbucaramanga: Que seran pequeños delitos para el @ingrodolfohdez ? . La inseguridad esta disparada en toda la ciudad. ; #AlAire en la Gira Nacional de RCN Radio: @ingrodolfohdez alcalde de #Bucaramanga ""los venezolanos están vendiendo caramelos, limpiando vidrios y cometiendo pequeños delitos para lograr su supervivencia"". https://t.co/CCDH9EPqGK"
4893,"Sé que no son todos, pero la delincuencia y criminalidad se duplicó con la llegada de los venezolanos... y actúan con más sevicia. Volvieron mierda a un amigo :("
4894,"RT @MaryjVasquez: @Jackevm @LSGoth @DiegoAl90412793 @IvanCepedaCast @Miigue1993 Si es nuestro problema o es que no ves noticias, estamos invadidos de venezolanos que jamás abran querido salir de su país a mendigar a otro país donde las oportunidades de trabajo son escasas. La inseguridad se nos a multiplicado y eso no se puede ocultar"
4910,"Eres venezolano y cuando un nativo del país a donde emigraste te dice que la inseguridad ha aumentado por la migración de venezolanos, tú que haces? Te callas y tragas duro."
4911,"QT @Doncorleone_web: Q risa me dan uds. Mostrando eso...en este Pais se limpian el rabo con la CRBV se limpian el rabo con con la Ley y violan todos los Derechos q tiene un Venezolano, la GNB, FANB y PNB etc...son los peores ladrones,en Colombia ni te miran tus maletas ; @lauraarcon @Aleja_dos @NTN24 https://t.co/5aRDcHrwmy"
4914,"QT @elespectador: Sin palabras. ; #LaPulla: En Bucaramanga, el personero dijo que los venezolanos son los responsables de la “desintegración familiar” y el alcalde se encargó de ponerle el moño al pastel diciendo que de Venezuela sólo llegan prostitutas, limosneros y desocupados. https://t.co/FXwOYYQGSi https://t.co/WRQS6nIein"
4917,"@elespectador Si usted @NicolasMaduro renuncia y se lleva toda su recia de ladrones, no se necesitará dinero para repatriar, los mismos venezolanos regresarán por sus medios. Que vuelva la democracia."
4918,"Señor alcalde @mrafael70 no se en su plan de gobierno que tiene pensado respecto a los venezolanos, pero, el Rodadero está MAL! Personas drogadas, agrediéndose y poniendo en peligro a los residentes. Claramente la @PoliciaColombia nunca llego!"
4922,"QT @RCNbucaramanga: RT @FREDYGARZON: @ingrodolfohdez culpa a Venezolanos de la inseguridad de #Bucaramanga, pero dicen que son pequeños delitos. IRRESPONSABLE.… ; #AlAire en la Gira Nacional de RCN Radio: @ingrodolfohdez alcalde de #Bucaramanga ""los venezolanos están vendiendo caramelos, limpiando vidrios y cometiendo pequeños delitos para lograr su supervivencia"". https://t.co/CCDH9EPqGK"
4927,"RT @ChacaoToday: ""No se saquen esa mierda, el único documento válido es la cédula. Todos somos venezolanos. Cada güevón que se lo saque, estará inscribiéndose en el partido de esas ratas"". Atentamente, Desorden Público @DesordenPublico https://t.co/9leo2SLRdy"
4934,QT @juanmanuelgalan: No podemos dejar a nuestros hermanos venezolanos asi de vulnerables a la Merced de la delincuencia ... ; El drama humanitario de refugiados venezolanos es un desafío que para el gobierno de @IvanDuque cada vez es más urgente de resolver. @VocesRCN @jciragorri @Villegasalejo
4936,"RT @GFdeVenezuela: ¡Bendición! - ¡Dios te bendiga y te favorezca... y te libre de todo mal y peligro! El pedir la bendición ha sido siempre una hermosa costumbre tradicional venezolana, es un acto de fe, amor y unión familiar que no podemos dejar perder 🙏🏻🙂 https://t.co/kssTIwAU9m"
4939,"RT @EdgarSuarezG: @DianaSaray @ingrodolfohdez Dianita más que propuestas soluciones prontas del actual gobierno; los problemas de ciudad no da espera: desempleo, inseguridad y venezolanos; el comercio está cerrando y cambiando domicilio a otra ciudad. El tiempo de las propuestas es con concertación de partidos y candidatos"
